route,count,module,verification_status,failure_code,patcher
figure,13,,,,
mixed,8,,,,
table,19,,,,
text,9,,,,
unresolved,492,,,,
,30,figure,,,
,86,table,,,
,21,text,,,
,70,,rejected,,
,27,,unresolved,,
,29,,verified,,
,11,,,figure_digitization_failed,
,2,,,insufficient_evidence,
,9,,,missing_api_concentration,
,24,,,missing_area,
,10,,,missing_endpoint,
,3,,,missing_endpoint_time,
,12,,,not_target_api,
,66,,,not_target_device,
,24,,,not_target_study_type,
,29,,,percent_only,
,10,,,unit_normalization_failed,
,20,,,,patch_api_concentration
,7,,,,patch_area
,15,,,,patch_endpoint_time
,13,,,,patch_endpoint_value
