route,count,module,verification_status,failure_code,patcher
figure,13,,,,
mixed,11,,,,
table,13,,,,
text,10,,,,
unresolved,495,,,,
,25,figure,,,
,77,table,,,
,25,text,,,
,60,,rejected,,
,32,,unresolved,,
,32,,verified,,
,7,,,figure_digitization_failed,
,12,,,insufficient_evidence,
,4,,,missing_api_concentration,
,36,,,missing_area,
,16,,,missing_endpoint,
,4,,,missing_endpoint_time,
,27,,,not_target_api,
,43,,,not_target_device,
,18,,,not_target_study_type,
,12,,,percent_only,
,19,,,unit_normalization_failed,
,7,,,,patch_api_concentration
,11,,,,patch_area
,26,,,,patch_endpoint_time
,14,,,,patch_endpoint_value
