paper_id,doi,pmid,pmcid,title,preferred_format,available_formats,access_urls,local_paths,status,notes
paper_3978d47b3a2c,10.1002/(sici)1520-636x(1997)9:3<313::aid-chir19>3.0.co;2-q,9176998.0,,Topical administration of racemic ibuprofen.,unresolved,[],{},{},unresolved,[]
paper_6d7ce6948405,10.1002/14651858.cd001177.pub2,20393931.0,,Topical agents or dressings for pain in venous leg ulcers.,pdf,['pdf'],{'pdf': 'https://eprints.leedsbeckett.ac.uk/id/eprint/499/1/Topical%20agents%20or%20dressings%20for%20pain%20in%20venous%20leg%20ulcers.pdf'},{'pdf': 'papers\\pdf\\10.1002_14651858.cd001177.pub2__f1d6f61f65.pdf'},downloaded,"['seed_pdf_url_from_metadata', 'legacy_pdf_reused_local']"
paper_92afc39ccd63,10.1002/14651858.cd001177.pub3,23152206.0,PMC7054838,Topical agents or dressings for pain in venous leg ulcers.,html,"['html', 'pdf']","{'html': 'https://europepmc.org/articles/PMC7054838', 'pdf': 'https://europepmc.org/articles/PMC7054838?pdf=render'}",{'pdf': 'papers\\pdf\\10.1002_14651858.cd001177.pub3__a6c5e430fc.pdf'},downloaded,['legacy_pdf_reused_local']
paper_244198a8d171,10.1002/adhm.201600591,27805775.0,,Magnetically Controlled Drug Release System through Magnetomechanical Actuation.,unresolved,[],{},{},unresolved,[]
paper_b0c15dc016b9,10.1002/advs.202510976,41221649.0,PMC12866810,Nanogel Integrated Zwitterionic Injectable Hydrogel with Sequential Drug-Releasing Capability for the Programmable Repair of Spinal Cord Injury.,html,"['html', 'pdf']","{'html': 'https://europepmc.org/articles/PMC12866810', 'pdf': 'https://europepmc.org/articles/PMC12866810?pdf=render'}",{'pdf': 'papers\\pdf\\10.1002_advs.202510976__9e81eb0534.pdf'},downloaded,['legacy_pdf_reused_local']
paper_e35b9fb3e6b5,10.1002/ams2.457,31988769.0,PMC6971472,A rare case of Reye's syndrome induced by influenza A virus with use of ibuprofen in an adult.,html,"['html', 'pdf']","{'pdf': 'https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ams2.457', 'html': 'https://europepmc.org/articles/PMC6971472'}",{},resolved,['failed_download:pdf']
paper_fd72d2eca67a,10.1002/ardp.201300279,24243443.0,,Synthesis and evaluation of 2-(2-arylmorpholino)ethyl esters of ibuprofen hydrochlorides as COX-2 and serotonin reuptake inhibitors.,unresolved,[],{},{},unresolved,[]
paper_5bf9e3e37e6c,10.1002/bdd.631,18985797.0,,Skin disposition of menthol after its application in the presence of drug substances.,unresolved,[],{},{},unresolved,[]
paper_69ea1a42d71b,10.1002/bmc.1365,20017213.0,,Enantiomeric separation of 2-arylpropionic acid nonsteroidal anti-inflammatory drugs by HPLC with hydroxypropyl-beta-cyclodextrin as chiral mobile phase additive.,unresolved,[],{},{},unresolved,[]
paper_58f3f695a704,10.1002/chem.201600105,27226393.0,,Supramolecular Gels by Design: Towards the Development of Topical Gels for Self-Delivery Application.,unresolved,[],{},{},unresolved,[]
paper_742b04792407,10.1002/elsc.201800046,32624867.0,PMC6999554,Rosmarinic acid-loaded electrospun nanofibers: In vitro release kinetic study and bioactivity assessment.,html,"['html', 'pdf']","{'pdf': 'https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/elsc.201800046', 'html': 'https://europepmc.org/articles/PMC6999554'}",{},resolved,['failed_download:pdf']
paper_89ec992d2cac,10.1002/etc.4302,30370675.0,,Effects of skin region and relative lipophilicity on percutaneous absorption in the toad Rhinella marina.,pdf,['pdf'],{'pdf': 'http://minerva-access.unimelb.edu.au/bitstreams/99b92823-e2e3-5a20-b790-8bad09c24a3c/download'},{'pdf': 'papers\\pdf\\10.1002_etc.4302__6928b548af.pdf'},downloaded,['legacy_pdf_reused_local']
paper_79890f9d9026,10.1002/jbm.a.34095,22447357.0,,Polyaspartamide-polylactide electrospun scaffolds for potential topical release of Ibuprofen.,unresolved,[],{},{},unresolved,[]
paper_df3972501fd6,10.1002/jbm.a.34292,22733705.0,,Modeling of drug release from biodegradable triple-layered microparticles.,pdf,['pdf'],{'pdf': 'https://dr.ntu.edu.sg/bitstream/10356/79834/2/Modeling%20of%20drug%20release%20from%20biodegradable%20triple-layered.pdf'},{},resolved,"['seed_pdf_url_from_metadata', 'failed_download:pdf']"
paper_1e2fb1658151,10.1002/jmr.3089,38894531.0,,"Synthesis, molecular dynamics simulation, and evaluation of biological activity of novel flurbiprofen and ibuprofen-like compounds.",unresolved,[],{},{},unresolved,[]
paper_78ec4fb95c70,10.1002/jps.20623,16724324.0,,Penetration of crystalline powder particles into excised human skin membranes and model gels from a supersonic powder injector.,unresolved,[],{},{},unresolved,[]
paper_e23ccfcf23e7,10.1002/jps.23548,23589422.0,,"Influence of physicochemical properties on the in vitro skin permeation of the enantiomers, racemate, and eutectics of ibuprofen for enhanced transdermal drug delivery.",unresolved,[],{},{},unresolved,[]
paper_0ea81ef2fdf2,10.1002/jps.24052,24984880.0,,Numerical modelling of transdermal delivery from matrix systems: parametric study and experimental validation with silicone matrices.,unresolved,[],{},{},unresolved,[]
paper_18f9f1c31ac6,10.1002/jps.24556,26213208.0,,Investigation of pH Influence on Skin Permeation Behavior of Weak Acids Using Nonsteroidal Anti-Inflammatory Drugs.,unresolved,[],{},{},unresolved,[]
paper_561abc239285,10.1002/jps.2600841208,8748324.0,,Transdermal delivery of drugs with differing lipophilicities using azone analogs as dermal penetration enhancers.,unresolved,[],{},{},unresolved,[]
paper_d264824515e7,10.1002/mabi.201900412,32090495.0,,Stimuli Responsive Scaffolds Based on Carboxymethyl Starch and Poly(2-Dimethylaminoethyl Methacrylate) for Anti-Inflammatory Drug Delivery.,unresolved,[],{},{},unresolved,[]
paper_f259de4127b5,10.1002/mrc.1329,14745790.0,,Multi-dimensional pulsed field gradient magic angle spinning NMR experiments on membranes.,unresolved,[],{},{},unresolved,[]
paper_24932e7765c5,10.1002/open.202400206,39400468.0,PMC11625915,New Ibuprofen Cystamine Salts With Improved Solubility and Anti-Inflammatory Effect.,html,"['html', 'pdf']","{'html': 'https://europepmc.org/articles/PMC11625915', 'pdf': 'https://europepmc.org/articles/PMC11625915?pdf=render'}",{'pdf': 'papers\\pdf\\10.1002_open.202400206__efc74ebbd7.pdf'},downloaded,['legacy_pdf_reused_local']
paper_18833a391396,10.1002/open.202500038,40465331.0,PMC12409833,Ibuprofen-Functionalized Alkyl α-hydroxy Methacrylate-Based Polymers.,html,"['html', 'pdf']","{'html': 'https://europepmc.org/articles/PMC12409833', 'pdf': 'https://europepmc.org/articles/PMC12409833?pdf=render'}",{'pdf': 'papers\\pdf\\10.1002_open.202500038__ca478fccf0.pdf'},downloaded,['legacy_pdf_reused_local']
paper_1f3c544b574c,10.1007/978-1-4939-0363-4_7,24567135.0,,Microneedle-iontophoresis combinations for enhanced transdermal drug delivery.,pdf,['pdf'],{'pdf': 'https://link.springer.com/content/pdf/bfm:978-1-4939-0363-4/1?pdf=chapter%20toc'},{'pdf': 'papers\\pdf\\10.1007_978-1-4939-0363-4_7__6fa5f5aae3.pdf'},downloaded,['legacy_pdf_reused_local']
paper_4f6784152ea5,10.1007/bf00687209,3687384.0,,Cerebromicrovascular endothelial permeability. In-vitro studies.,unresolved,[],{},{},unresolved,[]
paper_2e81c7f1dcab,10.1007/bf00914030,2157660.0,,"Steroids decrease granulocyte membrane fluidity, while phorbol ester increases membrane fluidity. Studies using electron paramagnetic resonance.",unresolved,[],{},{},unresolved,[]
paper_921c326a6663,10.1007/s000110300009,12608645.0,,CD40 ligation triggers COX-2 expression in endothelial cells: evidence that CD40-mediated IL-6 synthesis is COX-2-dependent.,unresolved,[],{},{},unresolved,[]
paper_bd923af22ffb,10.1007/s002100100434,11534854.0,,Human umbilical vein: involvement of cyclooxygenase-2 pathway in bradykinin B1 receptor-sensitized responses.,unresolved,[],{},{},unresolved,[]
paper_4afdb849a51d,10.1007/s00216-005-3296-z,16021427.0,,Ultrafiltration behavior of selected pharmaceuticals on natural and synthetic membranes in the presence of humic-rich hydrocolloids.,unresolved,[],{},{},unresolved,[]
