doi,cosolvent_pg,cosolvent_etoh,cosolvent_water,cosolvent_glycerin,cosolvent_dmso,cosolvent_other,polymer_hpmc,polymer_carbopol,polymer_poloxamer,polymer_other,surfactant_tween,surfactant_span,surfactant_sls,surfactant_tpgs,surfactant_other,enhancer_terpene,enhancer_fatty_acid,enhancer_azone,enhancer_ipm,oil_mineral,oil_silicone,nano_carrier,microneedle_or_iontophoresis
10.1002/14651858.cd001177.pub2,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1007/s11095-008-9785-y,present_with_value,absent,present_with_value,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1007/s11095-020-02887-9,absent,absent,absent,absent,absent,absent,absent,absent,absent,present_with_value,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present_qualitative
10.1007/s11095-024-03747-6,absent,absent,absent,absent,absent,absent,absent,absent,present_with_value,absent,absent,absent,absent,present_with_value,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1007/s13346-022-01182-x,absent,absent,present_qualitative,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1016/j.ejpb.2020.05.013,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1016/j.ijpharm.2016.03.043,present_qualitative,present_qualitative,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1016/j.ijpharm.2019.118975,absent,present_with_range,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1016/j.jpba.2019.04.040,absent,absent,present_with_value,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1021/acs.molpharmaceut.0c00720,absent,absent,present_qualitative,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1038/nature18615,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1038/s41598-020-74885-1,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1038/s41598-022-05912-6,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present_qualitative
10.1038/s41598-024-57883-5,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1038/srep08114,absent,absent,absent,absent,present_with_value,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1039/d0ra00100g,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1172/jci2614,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1186/2050-6511-13-5,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present_qualitative
10.1186/s12951-020-00718-y,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1186/s13065-022-00901-2,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1208/s12249-013-9995-4,absent,absent,absent,absent,absent,absent,present_with_value,absent,absent,absent,absent,absent,absent,present_with_value,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1208/s12249-015-0474-y,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1208/s12249-019-1481-1,present_with_range,absent,present_with_value,present_with_range,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1208/s12249-019-1584-8,absent,absent,present_qualitative,absent,absent,present_with_value,absent,absent,absent,absent,absent,absent,absent,absent,present_with_value,absent,absent,present_qualitative,absent,absent,absent,present_qualitative,absent
10.1248/bpb.b19-00221,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1248/cpb.c21-00033,absent,absent,present_qualitative,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1371/journal.pone.0118536,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1371/journal.pone.0130253,absent,absent,absent,absent,absent,absent,absent,absent,present_with_value,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1371/journal.pone.0156931,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1523/jneurosci.15-04-02768.1995,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1523/jneurosci.5741-07.2008,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.1593/neo.121890,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.18433/j3160b,absent,absent,absent,absent,absent,absent,absent,absent,absent,present_with_value,present_with_value,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present_with_value,absent
10.21203/rs.3.rs-3773667/v1,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.3389/fchem.2021.767923,absent,absent,absent,absent,absent,absent,absent,absent,absent,present_with_value,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.3389/fphar.2024.1355283,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.3389/fphys.2016.00263,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.3390/membranes13030355,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.3390/molecules28207156,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
10.4103/jomfp.jomfp_253_19,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
