route,count,module,verification_status,scope_bucket,scope_tag,failure_code,patcher
figure,19,,,,,,
mixed,4,,,,,,
table,18,,,,,,
text,11,,,,,,
unresolved,487,,,,,,
,28,figure,,,,,
,67,table,,,,,
,14,text,,,,,
,21,,rejected,,,,
,66,,unresolved,,,,
,8,,verified,,,,
,9,,,out_of_scope,,,
,52,,,recoverable_unresolved,,,
,8,,,strict_in_scope,,,
,26,,,useful_but_out_of_scope,,,
,9,,,,non_target_api,,
,23,,,,recoverable_api_basis,,
,10,,,,recoverable_area,,
,7,,,,recoverable_endpoint,,
,2,,,,recoverable_endpoint_time,,
,1,,,,recoverable_figure_digitization,,
,39,,,,recoverable_support_gap,,
,6,,,,recoverable_unit_normalization,,
,52,,,,recoverable_unresolved,,
,15,,,,useful_api_concentration_out_of_scope,,
,26,,,,useful_but_out_of_scope,,
,5,,,,useful_device_out_of_scope,,
,5,,,,useful_endpoint_out_of_scope,,
,7,,,,useful_study_type_out_of_scope,,
,33,,,,,ambiguous_api_concentration,
,2,,,,,figure_digitization_failed,
,64,,,,,insufficient_evidence,
,7,,,,,missing_api_concentration,
,19,,,,,missing_area,
,8,,,,,missing_endpoint,
,2,,,,,missing_endpoint_time,
,9,,,,,not_target_api,
,16,,,,,not_target_api_concentration,
,5,,,,,not_target_device,
,11,,,,,not_target_study_type,
,9,,,,,percent_only,
,6,,,,,unit_normalization_failed,
,8,,,,,,patch_api_concentration
,7,,,,,,patch_area
,19,,,,,,patch_endpoint_time
,35,,,,,,patch_endpoint_value
