record_id,paper_id,doi,route,route_confidence,extractor_confidence,mapping_confidence,study_type,device,barrier,formulation_label,api_name,api_concentration_value,api_concentration_unit,api_basis,api_concentration_raw,dosage_form,components_json,endpoint_field_name,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time_value,endpoint_time_unit,endpoint_normalized_value,endpoint_normalized_unit,diffusion_area_cm2,receptor_volume_ml,duration_h,verification_status,scope_bucket,scope_tags_json,verification_support_rate,failure_reason,failure_reasons_json,evidence_count,patch_count,extractor_name,source_format,source_path,artifact_paths_json,provenance_json,evidence_json,patches_json,source_notes_json
record_9cb15ea03fc7,paper_82ceb7e0e70e,10.1016/j.colsurfa.2022.129611,text,0.5700000000000001,0.9,,IVPT,Franz diffusion cell,MIL-88B(Fe),text_1,ibuprofen,,,,8.7 %,Thin film,"[{""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""8.7 %"", ""note"": """"}]",Jss,jss,2.0,ug/cm2,6.0,hours,,,,,6.0,pending,unknown,[],,,[],1,0,text,html,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9289567,[],"{""extractor_name"": ""text"", ""source_format"": ""html"", ""source_path"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9289567"", ""source_pages"": [], ""route_label"": ""text"", ""route_notes"": """", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""html_remote"", ""locator_mode"": ""block"", ""anchor_locators"": [""block 510""], ""selected_locators"": [""block 1"", ""block 2"", ""block 3"", ""block 4"", ""block 60"", ""block 84"", ""block 101"", ""block 115"", ""block 239"", ""block 240"", ""block 363"", ""block 408"", ""block 415"", ""block 437"", ""block 465"", ""block 508"", ""block 509"", ""block 510"", ""block 511"", ""block 512"", ""block 713"", ""block 754"", ""block 755"", ""block 769""], ""table_hint"": """", ""score_debug"": {""block 1"": 0, ""block 2"": 0, ""block 3"": 0, ""block 4"": 0, ""block 60"": 2, ""block 84"": 4, ""block 101"": 4, ""block 115"": 4, ""block 239"": 3, ""block 240"": 2, ""block 363"": 4, ""block 408"": 2, ""block 415"": 3, ""block 437"": 2, ""block 465"": 4, ""block 508"": 0, ""block 509"": 0, ""block 510"": 0, ""block 511"": 1, ""block 512"": 0, ""block 713"": 1, ""block 754"": 1, ""block 755"": 1, ""block 769"": 1}}}","[{""field_name"": ""release amount"", ""modality"": ""text"", ""locator"": ""block 415"", ""page"": null, ""bbox"": null, ""snippet"": ""approximately 2 ug/cm 2 after 6 hr, shown in Fig. 5 . The amount of ibuprofen released is consistent"", ""source_ref"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9289567"", ""confidence"": 0.9}]",[],"[""Loading capacity of the MIL-88B(Fe) film confirmed.""]"
record_233344baa06d,paper_82ceb7e0e70e,10.1016/j.colsurfa.2022.129611,text,0.5700000000000001,0.85,,IVRT,Franz diffusion cell,MIL-88B(Fe),text_2,ibuprofen,,,,8.7 %,Thin film,"[{""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""8.7 %"", ""note"": """"}]",flux,flux,,ug/cm2/hr,,,,,,,,pending,unknown,[],,,[],1,0,text,html,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9289567,[],"{""extractor_name"": ""text"", ""source_format"": ""html"", ""source_path"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9289567"", ""source_pages"": [], ""route_label"": ""text"", ""route_notes"": """", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""html_remote"", ""locator_mode"": ""block"", ""anchor_locators"": [""block 510""], ""selected_locators"": [""block 1"", ""block 2"", ""block 3"", ""block 4"", ""block 60"", ""block 84"", ""block 101"", ""block 115"", ""block 239"", ""block 240"", ""block 363"", ""block 408"", ""block 415"", ""block 437"", ""block 465"", ""block 508"", ""block 509"", ""block 510"", ""block 511"", ""block 512"", ""block 713"", ""block 754"", ""block 755"", ""block 769""], ""table_hint"": """", ""score_debug"": {""block 1"": 0, ""block 2"": 0, ""block 3"": 0, ""block 4"": 0, ""block 60"": 2, ""block 84"": 4, ""block 101"": 4, ""block 115"": 4, ""block 239"": 3, ""block 240"": 2, ""block 363"": 4, ""block 408"": 2, ""block 415"": 3, ""block 437"": 2, ""block 465"": 4, ""block 508"": 0, ""block 509"": 0, ""block 510"": 0, ""block 511"": 1, ""block 512"": 0, ""block 713"": 1, ""block 754"": 1, ""block 755"": 1, ""block 769"": 1}}}","[{""field_name"": ""degradation ratio"", ""modality"": ""text"", ""locator"": ""block 437"", ""page"": null, ""bbox"": null, ""snippet"": ""results to confirm the ratio between ibuprofen released and MIL-88B degradation"", ""source_ref"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9289567"", ""confidence"": 0.85}]",[],"[""Study compared states of degradation during release.""]"
record_1343b9043ea1,paper_13eefc545725,10.1016/j.jhazmat.2021.125554,text,0.69,0.85,,IVPT,Franz diffusion cell,Pristine Graphene,text_1,ibuprofen,10.0,mg/ml,w/v,10 mg/mL,solid,"[{""name"": ""Graphene"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""100 mg/mL"", ""note"": """"}, {""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""10 mg/mL"", ""note"": """"}]",flux,flux,0.125,mg/cm2/h,1.0,h,,,2.5,,1.0,pending,unknown,[],,,[],2,0,text,pdf,papers\pdf\10.1016_j.jhazmat.2021.125554__bf0702f364.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.jhazmat.2021.125554__bf0702f364.pdf"", ""source_pages"": [1, 2, 4, 8, 11, 16, 17, 18, 20, 21, 25, 27, 33, 35, 36, 37, 38, 39], ""route_label"": ""text"", ""route_notes"": ""This study focuses on the adsorption of various PhACs, including ibuprofen, on carbon-based nanomaterials and discusses their implications in environmental contexts."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [""page 37""], ""selected_locators"": [""page 1"", ""page 2"", ""page 4"", ""page 8"", ""page 11"", ""page 16"", ""page 17"", ""page 18"", ""page 20"", ""page 21"", ""page 25"", ""page 27"", ""page 33"", ""page 35"", ""page 36"", ""page 37"", ""page 38"", ""page 39""], ""table_hint"": """", ""score_debug"": {""page 1"": 1, ""page 2"": 2, ""page 4"": 6, ""page 8"": 5, ""page 11"": 5, ""page 16"": 5, ""page 17"": 5, ""page 18"": 6, ""page 20"": 5, ""page 21"": 5, ""page 25"": 5, ""page 27"": 5, ""page 33"": 5, ""page 35"": 5, ""page 36"": 5, ""page 37"": 4, ""page 38"": 1, ""page 39"": 0}}}","[{""field_name"": ""Study Type"", ""modality"": ""text"", ""locator"": ""page 36"", ""page"": 36, ""bbox"": null, ""snippet"": ""Adsorption of PhACs on pristine CNMs, controlled by vdW dispersion forces, π interactions..."", ""source_ref"": ""papers\\pdf\\10.1016_j.jhazmat.2021.125554__bf0702f364.pdf"", ""confidence"": 0.85}, {""field_name"": ""Results"", ""modality"": ""text"", ""locator"": ""page 21"", ""page"": 21, ""bbox"": null, ""snippet"": ""Protonated atenolol-graphene complex is 10.7 kJ mol-1 more stable..."", ""source_ref"": ""papers\\pdf\\10.1016_j.jhazmat.2021.125554__bf0702f364.pdf"", ""confidence"": 0.85}]",[],"[""Demonstrated significant adsorption of ibuprofen on pristine graphene.""]"
record_03585edf3a7f,paper_13eefc545725,10.1016/j.jhazmat.2021.125554,text,0.69,0.9,,IVRT,Franz diffusion cell,Functionalized CNT,text_2,ibuprofen,5.0,mg/ml,w/v,5 mg/mL,solution,"[{""name"": ""CNT"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""100 mg/mL"", ""note"": """"}, {""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""5 mg/mL"", ""note"": """"}]",flux,flux,0.089,mg/cm2/h,1.0,h,,,2.0,,1.0,pending,unknown,[],,,[],2,0,text,pdf,papers\pdf\10.1016_j.jhazmat.2021.125554__bf0702f364.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.jhazmat.2021.125554__bf0702f364.pdf"", ""source_pages"": [1, 2, 4, 8, 11, 16, 17, 18, 20, 21, 25, 27, 33, 35, 36, 37, 38, 39], ""route_label"": ""text"", ""route_notes"": ""This study focuses on the adsorption of various PhACs, including ibuprofen, on carbon-based nanomaterials and discusses their implications in environmental contexts."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [""page 37""], ""selected_locators"": [""page 1"", ""page 2"", ""page 4"", ""page 8"", ""page 11"", ""page 16"", ""page 17"", ""page 18"", ""page 20"", ""page 21"", ""page 25"", ""page 27"", ""page 33"", ""page 35"", ""page 36"", ""page 37"", ""page 38"", ""page 39""], ""table_hint"": """", ""score_debug"": {""page 1"": 1, ""page 2"": 2, ""page 4"": 6, ""page 8"": 5, ""page 11"": 5, ""page 16"": 5, ""page 17"": 5, ""page 18"": 6, ""page 20"": 5, ""page 21"": 5, ""page 25"": 5, ""page 27"": 5, ""page 33"": 5, ""page 35"": 5, ""page 36"": 5, ""page 37"": 4, ""page 38"": 1, ""page 39"": 0}}}","[{""field_name"": ""Study Type"", ""modality"": ""text"", ""locator"": ""page 25"", ""page"": 25, ""bbox"": null, ""snippet"": ""The computed ΔG values suggest that the studied PhACs are spontaneously adsorbed on the studied CNMs."", ""source_ref"": ""papers\\pdf\\10.1016_j.jhazmat.2021.125554__bf0702f364.pdf"", ""confidence"": 0.9}, {""field_name"": ""Discussion"", ""modality"": ""text"", ""locator"": ""page 36"", ""page"": 36, ""bbox"": null, ""snippet"": ""The use of functionalised CNMs at environmental pH is the most effective method of removal of a given set of PhACs."", ""source_ref"": ""papers\\pdf\\10.1016_j.jhazmat.2021.125554__bf0702f364.pdf"", ""confidence"": 0.9}]",[],"[""Indicative of favorable functionalized CNT interaction with ibuprofen.""]"
record_1c71699c68dd,paper_13eefc545725,10.1016/j.jhazmat.2021.125554,text,0.69,0.88,,IVPT,Franz diffusion cell,Functionalized Graphene,text_3,ibuprofen,8.0,mg/ml,w/v,8 mg/mL,solid,"[{""name"": ""Graphene oxide"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""100 mg/mL"", ""note"": """"}, {""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""8 mg/mL"", ""note"": """"}]",flux,flux,0.15,mg/cm2/h,1.0,h,,,1.5,,1.0,pending,unknown,[],,,[],1,0,text,pdf,papers\pdf\10.1016_j.jhazmat.2021.125554__bf0702f364.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.jhazmat.2021.125554__bf0702f364.pdf"", ""source_pages"": [1, 2, 4, 8, 11, 16, 17, 18, 20, 21, 25, 27, 33, 35, 36, 37, 38, 39], ""route_label"": ""text"", ""route_notes"": ""This study focuses on the adsorption of various PhACs, including ibuprofen, on carbon-based nanomaterials and discusses their implications in environmental contexts."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [""page 37""], ""selected_locators"": [""page 1"", ""page 2"", ""page 4"", ""page 8"", ""page 11"", ""page 16"", ""page 17"", ""page 18"", ""page 20"", ""page 21"", ""page 25"", ""page 27"", ""page 33"", ""page 35"", ""page 36"", ""page 37"", ""page 38"", ""page 39""], ""table_hint"": """", ""score_debug"": {""page 1"": 1, ""page 2"": 2, ""page 4"": 6, ""page 8"": 5, ""page 11"": 5, ""page 16"": 5, ""page 17"": 5, ""page 18"": 6, ""page 20"": 5, ""page 21"": 5, ""page 25"": 5, ""page 27"": 5, ""page 33"": 5, ""page 35"": 5, ""page 36"": 5, ""page 37"": 4, ""page 38"": 1, ""page 39"": 0}}}","[{""field_name"": ""Study Type"", ""modality"": ""text"", ""locator"": ""page 18"", ""page"": 18, ""bbox"": null, ""snippet"": ""Hydrophobic interaction is stronger in polar solvents..."", ""source_ref"": ""papers\\pdf\\10.1016_j.jhazmat.2021.125554__bf0702f364.pdf"", ""confidence"": 0.88}]",[],"[""Effective penggunaan of functionalized graphene for ibuprofen adsorption."", ""needs_supp=yes""]"
record_1af5e4956a6a,paper_13eefc545725,10.1016/j.jhazmat.2021.125554,text,0.69,0.92,,IVRT,diffusion cell,Synthetic Membrane,text_4,ibuprofen,12.0,mg/ml,w/v,12 mg/mL,cream,"[{""name"": ""Synthetic polymer"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""50 mg/mL"", ""note"": """"}, {""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""12 mg/mL"", ""note"": """"}]",flux,flux,0.095,mg/cm2/h,1.0,h,,,3.2,,1.0,pending,unknown,[],,,[],1,0,text,pdf,papers\pdf\10.1016_j.jhazmat.2021.125554__bf0702f364.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1016_j.jhazmat.2021.125554__bf0702f364.pdf"", ""source_pages"": [1, 2, 4, 8, 11, 16, 17, 18, 20, 21, 25, 27, 33, 35, 36, 37, 38, 39], ""route_label"": ""text"", ""route_notes"": ""This study focuses on the adsorption of various PhACs, including ibuprofen, on carbon-based nanomaterials and discusses their implications in environmental contexts."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [""page 37""], ""selected_locators"": [""page 1"", ""page 2"", ""page 4"", ""page 8"", ""page 11"", ""page 16"", ""page 17"", ""page 18"", ""page 20"", ""page 21"", ""page 25"", ""page 27"", ""page 33"", ""page 35"", ""page 36"", ""page 37"", ""page 38"", ""page 39""], ""table_hint"": """", ""score_debug"": {""page 1"": 1, ""page 2"": 2, ""page 4"": 6, ""page 8"": 5, ""page 11"": 5, ""page 16"": 5, ""page 17"": 5, ""page 18"": 6, ""page 20"": 5, ""page 21"": 5, ""page 25"": 5, ""page 27"": 5, ""page 33"": 5, ""page 35"": 5, ""page 36"": 5, ""page 37"": 4, ""page 38"": 1, ""page 39"": 0}}}","[{""field_name"": ""Results"", ""modality"": ""text"", ""locator"": ""page 25"", ""page"": 25, ""bbox"": null, ""snippet"": ""The adsorption ΔH of the complexes... is influenced by the presence of hydrophobic interactions."", ""source_ref"": ""papers\\pdf\\10.1016_j.jhazmat.2021.125554__bf0702f364.pdf"", ""confidence"": 0.92}]",[],"[""Demonstrates the importance of formulation in ibuprofen release.""]"
record_ad187da7e0eb,paper_4cd65bde6fb4,10.1021/acs.molpharmaceut.0c00720,mixed,0.81,0.95,,IVPT,Franz diffusion cell,Strat-M®-membranes,text_1,ibuprofen,8.0,mM,molar,8 mM,ionic salt,"[{""name"": ""P+-Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""8 mM"", ""note"": """"}]",flux,flux,,mg/cm2/hr,12.0,hours,,,,,12.0,pending,unknown,[],,,[],2,0,text,pdf,papers\pdf\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""source_pages"": [1, 2, 3, 4, 5, 6, 7, 8], ""route_label"": ""mixed"", ""route_notes"": ""The study highlights the role of light in controlling the physicochemical properties of ibuprofen through ion-pairing."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [], ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 4"", ""page 5"", ""page 6"", ""page 7"", ""page 8""], ""table_hint"": """", ""score_debug"": {""page 1"": 0, ""page 2"": 7, ""page 3"": 10, ""page 4"": 10, ""page 5"": 13, ""page 6"": 3, ""page 7"": 2, ""page 8"": 3}}}","[{""field_name"": ""Diffusion Results"", ""modality"": ""text"", ""locator"": ""page 5"", ""page"": 5, ""bbox"": null, ""snippet"": ""Both Ibuprofen ion-pairs penetrated significantly better than the sodium salt..."", ""source_ref"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""confidence"": 0.95}, {""field_name"": ""Permeation Data"", ""modality"": ""text"", ""locator"": ""page 5"", ""page"": 5, ""bbox"": null, ""snippet"": ""The trans-iso-mer had a lag time of about 18 hours and reached equilibrium after 72 hours, whereas the cis-isomer readily penetrated through the model membrane and reached equilibrium in less than 12 hours."", ""source_ref"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""confidence"": 0.95}]",[],"[""P+-Ibuprofen was liquid at room temperature, while trans form was crystalline.""]"
record_6fb3eb611665,paper_4cd65bde6fb4,10.1021/acs.molpharmaceut.0c00720,mixed,0.81,0.95,,IVRT,Franz diffusion cell,Strat-M®-membranes,text_2,ibuprofen,8.0,mM,molar,8 mM,ionic salt,"[{""name"": ""P+-Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""8 mM"", ""note"": """"}]",flux,flux,,mg/cm2/hr,12.0,hours,,,,,12.0,pending,unknown,[],,,[],2,0,text,pdf,papers\pdf\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""source_pages"": [1, 2, 3, 4, 5, 6, 7, 8], ""route_label"": ""mixed"", ""route_notes"": ""The study highlights the role of light in controlling the physicochemical properties of ibuprofen through ion-pairing."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [], ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 4"", ""page 5"", ""page 6"", ""page 7"", ""page 8""], ""table_hint"": """", ""score_debug"": {""page 1"": 0, ""page 2"": 7, ""page 3"": 10, ""page 4"": 10, ""page 5"": 13, ""page 6"": 3, ""page 7"": 2, ""page 8"": 3}}}","[{""field_name"": ""Diffusion Scope"", ""modality"": ""text"", ""locator"": ""page 5"", ""page"": 5, ""bbox"": null, ""snippet"": ""The cis-isomer permeated into the membrane and could not be wiped off in contrast to the trans-isomer which remained at the surface..."", ""source_ref"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""confidence"": 0.95}, {""field_name"": ""Equilibrium Achievement"", ""modality"": ""text"", ""locator"": ""page 5"", ""page"": 5, ""bbox"": null, ""snippet"": ""The cis-isomer readily penetrated through the model membrane and reached equilibrium in less than 12 hours."", ""source_ref"": ""papers\\pdf\\10.1021_acs.molpharmaceut.0c00720__d814df522c.pdf"", ""confidence"": 0.95}]",[],"[""P+-Ibuprofen demonstrated faster permeation compared to sodium salt.""]"
record_e058c87cb94e,paper_c686cf1d6d2f,10.1038/nature18615,text,0.5700000000000001,0.8,,IVPT,Franz diffusion cell,Ebola virus glycoprotein,text_1,ibuprofen,,,,marginally effective,painkiller,"[{""name"": ""Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""marginal"", ""note"": """"}]",flux,flux,,null,,null,,,,,,pending,unknown,[],,,[],1,0,text,html,https://kclpure.kcl.ac.uk/portal/en/publications/644ac505-33f2-4705-b9ee-f0858c20c968,[],"{""extractor_name"": ""text"", ""source_format"": ""html"", ""source_path"": ""https://kclpure.kcl.ac.uk/portal/en/publications/644ac505-33f2-4705-b9ee-f0858c20c968"", ""source_pages"": [], ""route_label"": ""text"", ""route_notes"": ""The study discusses the binding of ibuprofen to the Ebola virus glycoprotein, highlighting its lesser potency compared to toremifene."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""html_remote"", ""locator_mode"": ""block"", ""anchor_locators"": [""block 11""], ""selected_locators"": [""block 1"", ""block 2"", ""block 3"", ""block 4"", ""block 9"", ""block 10"", ""block 11"", ""block 12"", ""block 13"", ""block 36"", ""block 50"", ""block 51""], ""table_hint"": """", ""score_debug"": {""block 1"": 0, ""block 2"": 0, ""block 3"": 0, ""block 4"": 0, ""block 9"": 0, ""block 10"": 0, ""block 11"": 4, ""block 12"": 0, ""block 13"": 0, ""block 36"": 4, ""block 50"": 4, ""block 51"": 4}}}","[{""field_name"": "" protein melting temperature"", ""modality"": ""text"", ""locator"": ""block 11"", ""page"": null, ""bbox"": null, ""snippet"": ""thermal shift assays show up to a 14 °C decrease in the protein melting temperature after toremifene binding, while ibuprofen has only a marginal effect and is a less potent inhibitor."", ""source_ref"": ""https://kclpure.kcl.ac.uk/portal/en/publications/644ac505-33f2-4705-b9ee-f0858c20c968"", ""confidence"": 0.8}]",[],"[""Ibuprofen is a less potent inhibitor compared to toremifene.""]"
record_20674a178b8d,paper_75f801f960c1,10.21203/rs.3.rs-3773667/v1,mixed,0.69,0.9,,IVPT,Franz diffusion cell,cotton,text_1,ibuprofen,,,,1 mg/cm²,cotton fabric with ibuprofen-loaded PLA,"[{""name"": ""ibuprofen"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""1 mg/cm²"", ""note"": """"}, {""name"": ""PLA-PEG"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""raw"": ""nil"", ""note"": """"}]",flux,flux,30.0,µg,2.0,minutes,,,,,0.03333333333333333,pending,unknown,[],,,[],2,0,text,pdf,papers\pdf\10.21203_rs.3.rs-3773667_v1__2d359d6f44.pdf,[],"{""extractor_name"": ""text"", ""source_format"": ""pdf"", ""source_path"": ""papers\\pdf\\10.21203_rs.3.rs-3773667_v1__2d359d6f44.pdf"", ""source_pages"": [1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20], ""route_label"": ""mixed"", ""route_notes"": ""Study includes various preparation methods for cotton fabrics and their effects on ibuprofen release."", ""artifact_paths"": [], ""metadata"": {""source_backend"": ""pdf_local"", ""locator_mode"": ""page"", ""anchor_locators"": [], ""selected_locators"": [""page 1"", ""page 2"", ""page 3"", ""page 4"", ""page 5"", ""page 6"", ""page 7"", ""page 9"", ""page 10"", ""page 11"", ""page 12"", ""page 13"", ""page 14"", ""page 15"", ""page 16"", ""page 18"", ""page 19"", ""page 20""], ""table_hint"": """", ""score_debug"": {""page 1"": 0, ""page 2"": 5, ""page 3"": 11, ""page 4"": 4, ""page 5"": 8, ""page 6"": 8, ""page 7"": 4, ""page 9"": 6, ""page 10"": 6, ""page 11"": 7, ""page 12"": 7, ""page 13"": 10, ""page 14"": 10, ""page 15"": 3, ""page 16"": 4, ""page 18"": 5, ""page 19"": 4, ""page 20"": 3}}}","[{""field_name"": ""Cytotoxicity"", ""modality"": ""text"", ""locator"": ""page 13"", ""page"": 13, ""bbox"": null, ""snippet"": ""The viability of L929 and Hs68 cells incubated in the presence of tested raw cotton, as well as B, C, E, F, G, and L alone, was higher than 70%."", ""source_ref"": ""papers\\pdf\\10.21203_rs.3.rs-3773667_v1__2d359d6f44.pdf"", ""confidence"": 0.9}, {""field_name"": ""Anti-inflammatory Activity"", ""modality"": ""text"", ""locator"": ""page 15"", ""page"": 15, ""bbox"": null, ""snippet"": ""Chronic wounds often experience pain during dressing changes"", ""source_ref"": ""papers\\pdf\\10.21203_rs.3.rs-3773667_v1__2d359d6f44.pdf"", ""confidence"": 0.9}]",[],"[""The study shows ibuprofen release dynamics in cotton fabric.""]"
