route,count,module,verification_status,scope_bucket,scope_tag,failure_code,patcher
figure,20,,,,,,
mixed,9,,,,,,
table,15,,,,,,
text,14,,,,,,
unresolved,476,,,,,,
,8,figure,,,,,
,65,table,,,,,
,22,text,,,,,
,23,,rejected,,,,
,65,,unresolved,,,,
,2,,verified,,,,
,13,,,out_of_scope,,,
,55,,,recoverable_unresolved,,,
,2,,,strict_in_scope,,,
,20,,,useful_but_out_of_scope,,,
,13,,,,non_target_api,,
,29,,,,recoverable_api_basis,,
,12,,,,recoverable_area,,
,5,,,,recoverable_endpoint,,
,2,,,,recoverable_figure_digitization,,
,43,,,,recoverable_support_gap,,
,55,,,,recoverable_unresolved,,
,11,,,,useful_api_concentration_out_of_scope,,
,20,,,,useful_but_out_of_scope,,
,3,,,,useful_device_out_of_scope,,
,4,,,,useful_endpoint_out_of_scope,,
,7,,,,useful_study_type_out_of_scope,,
,42,,,,,ambiguous_api_concentration,
,3,,,,,figure_digitization_failed,
,73,,,,,insufficient_evidence,
,6,,,,,missing_api_concentration,
,19,,,,,missing_area,
,7,,,,,missing_endpoint,
,13,,,,,not_target_api,
,11,,,,,not_target_api_concentration,
,3,,,,,not_target_device,
,11,,,,,not_target_study_type,
,7,,,,,percent_only,
,2,,,,,unit_normalization_failed,
,5,,,,,,patch_area
,21,,,,,,patch_endpoint_time
,23,,,,,,patch_endpoint_value
